mandante;visitante;mandante_ganhou
Paysandu;Atletico-MG;1
Flamengo;Gremio;1
Internacional;Juventude;0
Guarani;Bahia;1
Athletico-PR;Sao Caetano;1
Gremio;Parana;0
Fluminense;Ponte Preta;0
Atletico-MG;Criciuma;0
Santos;Corinthians;1
Juventude;Flamengo;0
Fortaleza;Cruzeiro;0
Figueirense;Paysandu;1
Vitoria;Goias;0
Vasco;Internacional;0
Sao Paulo;Coritiba;1
Parana;Figueirense;0
Internacional;Fortaleza;0
Juventude;Criciuma;1
Paysandu;Vasco;0
Sao Paulo;Fluminense;1
Coritiba;Corinthians;1
Santos;Vitoria;1
Cruzeiro;Gremio;1
Bahia;Ponte Preta;1
Goias;Athletico-PR;1
Flamengo;Atletico-MG;1
Guarani;Sao Caetano;0
Fluminense;Coritiba;1
Gremio;Paysandu;1
Criciuma;Parana;0
Ponte Preta;Santos;0
Vasco;Cruzeiro;0
Fortaleza;Flamengo;1
Athletico-PR;Sao Paulo;1
Sao Caetano;Bahia;1
Figueirense;Juventude;1
Vitoria;Guarani;0
Corinthians;Goias;1
Atletico-MG;Internacional;0
Figueirense;Internacional;1
Atletico-MG;Fortaleza;1
Coritiba;Ponte Preta;0
Gremio;Vasco;1
Flamengo;Criciuma;1
Santos;Fluminense;1
Parana;Cruzeiro;0
Sao Caetano;Goias;1
Bahia;Athletico-PR;0
Sao Paulo;Vitoria;1
Guarani;Corinthians;0
Paysandu;Juventude;1
Vasco;Figueirense;1
Juventude;Atletico-MG;1
Athletico-PR;Guarani;1
Fluminense;Sao Caetano;1
Internacional;Flamengo;1
Goias;Santos;1
Fortaleza;Parana;1
Criciuma;Gremio;0
Vitoria;Coritiba;1
Ponte Preta;Sao Paulo;0
Corinthians;Bahia;0
Cruzeiro;Paysandu;1
Vitoria;Atletico-MG;0
Goias;Figueirense;0
Athletico-PR;Vasco;0
Corinthians;Parana;0
Cruzeiro;Fluminense;1
Guarani;Paysandu;1
Santos;Gremio;0
Flamengo;Ponte Preta;0
Criciuma;Bahia;1
Fortaleza;Coritiba;0
Internacional;Sao Paulo;0
Juventude;Sao Caetano;1
Parana;Vitoria;1
Coritiba;Criciuma;1
Atletico-MG;Goias;1
Figueirense;Guarani;1
Sao Caetano;Internacional;1
Gremio;Corinthians;1
Ponte Preta;Fortaleza;1
Bahia;Cruzeiro;0
Fluminense;Juventude;1
Paysandu;Athletico-PR;0
Vasco;Santos;0
Sao Paulo;Flamengo;0
Botafogo-RJ;Goias;0
Figueirense;Internacional;1
Sao Caetano;Vitoria;1
Cruzeiro;Juventude;1
Palmeiras;Atletico-MG;0
Gremio;Flamengo;0
Ponte Preta;Corinthians;1
Parana;Santos;1
Coritiba;Guarani;1
Vasco;Criciuma;0
Paysandu;Fluminense;0
Sao Paulo;Athletico-PR;1
Flamengo;Ponte Preta;0
Goias;Cruzeiro;0
Juventude;Gremio;0
Internacional;Palmeiras;1
Atletico-MG;Vasco;0
Fluminense;Coritiba;0
Corinthians;Paysandu;1
Guarani;Sao Caetano;0
Athletico-PR;Figueirense;0
Vitoria;Parana;1
Criciuma;Sao Paulo;0
Santos;Botafogo-RJ;1
Botafogo-RJ;Atletico-MG;0
Coritiba;Internacional;0
Paysandu;Athletico-PR;0
Cruzeiro;Criciuma;0
Ponte Preta;Goias;1
Gremio;Corinthians;1
Figueirense;Santos;1
Sao Paulo;Fluminense;1
Parana;Flamengo;1
Vasco;Guarani;0
Palmeiras;Vitoria;0
Internacional;Paysandu;1
Criciuma;Botafogo-RJ;1
Atletico-MG;Ponte Preta;0
Goias;Gremio;1
Flamengo;Sao Caetano;0
Santos;Cruzeiro;0
Fluminense;Vasco;1
Corinthians;Palmeiras;0
Juventude;Parana;1
Vitoria;Figueirense;1
Guarani;Sao Paulo;0
Athletico-PR;Coritiba;0
Santos;Juventude;1
Parana;Cruzeiro;1
Guarani;Athletico-PR;0
Sao Caetano;Criciuma;1
Vasco;Gremio;0
Palmeiras;Ponte Preta;1
Internacional;Fluminense;0
Atletico-MG;Corinthians;0
Botafogo-RJ;Paysandu;0
Goias;Figueirense;1
Vitoria;Flamengo;1
Coritiba;Sao Paulo;0
Paysandu;Vasco;0
Athletico-PR;Santos;1
Cruzeiro;Palmeiras;1
Flamengo;Internacional;0
Figueirense;Sao Caetano;1
Criciuma;Goias;1
Juventude;Atletico-MG;0
Ponte Preta;Coritiba;0
Gremio;Botafogo-RJ;0
Sao Paulo;Parana;0
Fluminense;Vitoria;1
Corinthians;Guarani;1
Botafogo-RJ;Figueirense;0
Paysandu;Gremio;0
Internacional;Goias;1
Coritiba;Atletico-MG;0
Santos;Palmeiras;0
Flamengo;Fluminense;0
Sao Caetano;Vasco;1
Parana;Ponte Preta;0
Criciuma;Vitoria;1
Juventude;Guarani;1
Corinthians;Athletico-PR;0
Cruzeiro;Sao Paulo;1
Fluminense;Criciuma;0
Ponte Preta;Juventude;0
Figueirense;Paysandu;0
Palmeiras;Coritiba;1
Vitoria;Internacional;1
Atletico-MG;Santos;0
Vasco;Botafogo-RJ;1
Sao Paulo;Corinthians;0
Guarani;Parana;1
Goias;Flamengo;0
Athletico-PR;Cruzeiro;1
Gremio;Sao Caetano;0
Fluminense;Guarani;0
Parana;Botafogo-RJ;0
Internacional;Atletico-MG;1
Sao Paulo;Gremio;1
Goias;Corinthians;0
Palmeiras;Vasco;0
Cruzeiro;Paysandu;1
Coritiba;Sao Caetano;1
Criciuma;Juventude;1
Ponte Preta;Figueirense;0
Flamengo;Athletico-PR;1
Vitoria;Santos;0
Gremio;Coritiba;0
Athletico-PR;Vitoria;0
Vasco;Parana;0
Figueirense;Cruzeiro;0
Sao Caetano;Palmeiras;0
Corinthians;Flamengo;0
Botafogo-RJ;Ponte Preta;0
Paysandu;Sao Paulo;1
Guarani;Criciuma;1
Juventude;Goias;0
Santos;Internacional;1
